Location,Q1.1.1,Q1.2.1,Q1.1.2,Q1.2.2,Q1.1.3,Q1.2.3,Q1.1.4,Q1.2.4,Q1.1.5,Q1.2.5,Q1.1.6,Q1.2.6,Q1.1.7,Q1.2.7,Q1.1.8,Q1.2.8,Q1.1.9,Q1.2.9
Rhode Island,20.5,2.9,24.6,7.3,29.8,14.4,29.9,28.1,10.6,49.1,5.5,69.1,2.9,89.7,4.8,137.5,2,295.0
South Carolina,89,2.8,102.1,7.2,130.2,14.6,143,28.7,69,49.1,43.7,68.9,19.7,88.8,34.1,139.0,10.5,274.3
South Dakota,15.8,2.5,19,6.8,23,14.3,25.2,28.6,10.2,49.0,6.2,69.4,2.7,88.9,3.6,136.1,1,270.0
Tennessee,121.5,2.7,130.9,7.3,160,14.4,166.4,28.7,77.9,48.9,48.5,68.9,23.4,88.9,38.1,138.3,12.2,277.0
Texas,512,2.8,583,7.3,702.6,14.4,634.4,28.5,285.8,49.0,173.2,68.9,83.6,88.8,133.5,137.3,38.7,277.5
Utah,54.5,2.8,51.1,7.2,57,14.4,56,28.6,26,49.2,15.7,68.8,6.2,88.7,9.4,137.2,4.4,295.5
Vermont,9.6,3.1,11.7,6.8,15.9,14.5,17.7,28.2,6.3,49.2,3.7,67.6,2,90.0,3.5,137.1,1.5,280.0
Virginia,130.3,2.8,157.6,7.2,202.3,14.5,227.4,28.6,101.6,49.0,62.3,69.0,31.1,88.7,54.9,138.3,18.6,281.7
Washington,118.5,2.7,129.8,7.2,162.7,14.5,159.5,28.4,66.2,48.9,38.3,68.9,19.1,89.0,33.4,138.0,12.8,287.5
West Virginia,37.6,2.7,38.5,7.3,44.5,14.4,44.8,28.8,20.5,48.8,12,69.2,5.6,89.3,7.8,135.9,2.2,277.3
Wisconsin,110.6,2.7,118.4,7.1,149.5,14.5,163.9,28.5,63.8,48.9,36.9,68.8,16,88.8,23.6,136.9,8,280.0
Wyoming,10.1,3.0,9.4,7.4,10.1,14.9,10.1,28.7,4.4,50.0,2.5,68.0,1.2,91.7,1.9,136.8,0.5,300.0
Other,12.9,3.1,13.5,7.4,17.2,14.5,18.9,28.6,9,48.9,5.6,67.9,3.3,87.9,6.6,137.9,2.6,288.5
NA,1924.8,2.1,1046.7,7.3,1152.8,14.3,980.2,28.4,419.5,48.7,208.1,68.9,112.1,89.1,176.1,134.9,39.3,270.5
