Location,5 dollars,5 numbers,10 dollars,10 numbers,20 dollars,20 numbers,40 dollars,40 numbers,60 dollars,60 numbers,80 dollars,80 numbers,100 dollars,100 numbers,200 dollars,200 numbers,1000 dollars,1000 numbers
Rhode Island,0.06,20.5,0.18,24.6,0.43,29.8,0.84,29.9,0.52,10.6,0.38,5.5,0.26,2.9,0.66,4.8,0.59,2
South Carolina,0.25,89,0.74,102.1,1.9,130.2,4.1,143,3.39,69,3.01,43.7,1.75,19.7,4.74,34.1,2.88,10.5
South Dakota,0.04,15.8,0.13,19,0.33,23,0.72,25.2,0.5,10.2,0.43,6.2,0.24,2.7,0.49,3.6,0.27,1
Tennessee,0.33,121.5,0.95,130.9,2.31,160,4.77,166.4,3.81,77.9,3.34,48.5,2.08,23.4,5.27,38.1,3.38,12.2
Texas,1.42,512,4.23,583,10.1,702.6,18.06,634.4,14,285.8,11.94,173.2,7.42,83.6,18.33,133.5,10.74,38.7
Utah,0.15,54.5,0.37,51.1,0.82,57,1.6,56,1.28,26,1.08,15.7,0.55,6.2,1.29,9.4,1.3,4.4
Vermont,0.03,9.6,0.08,11.7,0.23,15.9,0.5,17.7,0.31,6.3,0.25,3.7,0.18,2,0.48,3.5,0.42,1.5
Virginia,0.36,130.3,1.13,157.6,2.94,202.3,6.5,227.4,4.98,101.6,4.3,62.3,2.76,31.1,7.59,54.9,5.24,18.6
Washington,0.32,118.5,0.94,129.8,2.36,162.7,4.53,159.5,3.24,66.2,2.64,38.3,1.7,19.1,4.61,33.4,3.68,12.8
West Virginia,0.1,37.6,0.28,38.5,0.64,44.5,1.29,44.8,1,20.5,0.83,12,0.5,5.6,1.06,7.8,0.61,2.2
Wisconsin,0.3,110.6,0.84,118.4,2.17,149.5,4.67,163.9,3.12,63.8,2.54,36.9,1.42,16,3.23,23.6,2.24,8
Wyoming,0.03,10.1,0.07,9.4,0.15,10.1,0.29,10.1,0.22,4.4,0.17,2.5,0.11,1.2,0.26,1.9,0.15,0.5
Other,0.04,12.9,0.1,13.5,0.25,17.2,0.54,18.9,0.44,9,0.38,5.6,0.29,3.3,0.91,6.6,0.75,2.6
NA,4.13,1924.8,7.69,1046.7,16.46,1152.8,27.84,980.2,20.45,419.5,14.34,208.1,9.99,112.1,23.75,176.1,10.63,39.3
